n_tokens,n_sents,avg_sent_len,avg_word_len,ttr,punct_ratio,excl_per_1k,quest_per_1k,quotes_per_1k,pos_ratio_noun,pos_ratio_verb,pos_ratio_adj,pos_ratio_adv,pos_ratio_propn,pos_ratio_pron,fk_grade,author,title,split
300,19,15.789473684210526,3.7268518518518516,0.4583333333333333,0.21666666666666667,10.0,3.3333333333333335,46.666666666666664,0.056666666666666664,0.18,0.016666666666666666,0.10333333333333333,0.03666666666666667,0.16666666666666666,5.733638814016171,Mark Twain,The Adventures of Tom Sawyer,val
277,11,25.181818181818183,4.478260869565218,0.5869565217391305,0.1588447653429603,0.0,3.6101083032490973,28.880866425992778,0.08303249097472924,0.20216606498194944,0.036101083032490974,0.061371841155234655,0.05776173285198556,0.1552346570397112,9.426034482758624,Jane Austen,Pride and Prejudice,val
255,15,17.0,4.17948717948718,0.6564102564102564,0.20784313725490197,19.607843137254903,3.9215686274509802,47.05882352941177,0.11372549019607843,0.20392156862745098,0.047058823529411764,0.06274509803921569,0.047058823529411764,0.11764705882352941,6.168688663282573,Jane Austen,Emma,val
270,11,24.545454545454547,3.9867256637168142,0.5575221238938053,0.14074074074074075,3.7037037037037037,0.0,25.925925925925927,0.08518518518518518,0.2074074074074074,0.044444444444444446,0.06296296296296296,0.05925925925925926,0.12962962962962962,7.449122807017545,Jane Austen,Emma,val
296,23,12.869565217391305,3.621495327102804,0.5747663551401869,0.23648648648648649,0.0,10.135135135135135,54.054054054054056,0.13851351351351351,0.1891891891891892,0.033783783783783786,0.04054054054054054,0.05067567567567568,0.12837837837837837,3.0925524712254564,Mark Twain,Adventures of Huckleberry Finn,val
283,10,28.3,4.1722689075630255,0.5672268907563025,0.13074204946996468,0.0,0.0,17.6678445229682,0.12367491166077739,0.21554770318021202,0.038869257950530034,0.07773851590106007,0.04946996466431095,0.1166077738515901,7.169999999999998,Jane Austen,Emma,val
276,6,46.0,4.686991869918699,0.6138211382113821,0.09420289855072464,0.0,0.0,0.0,0.15217391304347827,0.14855072463768115,0.057971014492753624,0.08695652173913043,0.043478260869565216,0.11594202898550725,16.755234239444764,Jane Austen,Sense and Sensibility,val
291,12,24.25,3.7532467532467533,0.5411255411255411,0.18213058419243985,0.0,6.8728522336769755,41.23711340206186,0.10996563573883161,0.16151202749140894,0.030927835051546393,0.054982817869415807,0.027491408934707903,0.15120274914089346,6.88135566188198,Mark Twain,Adventures of Huckleberry Finn,val
287,13,22.076923076923077,3.6340425531914895,0.5617021276595745,0.17421602787456447,3.484320557491289,3.484320557491289,34.84320557491289,0.11846689895470383,0.1916376306620209,0.017421602787456445,0.06620209059233449,0.006968641114982578,0.13588850174216027,6.782435064935068,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
279,13,21.46153846153846,4.197478991596639,0.6050420168067226,0.13978494623655913,0.0,3.5842293906810037,7.168458781362007,0.16845878136200718,0.17204301075268819,0.06810035842293907,0.053763440860215055,0.0035842293906810036,0.0931899641577061,6.8607692307692325,Mark Twain,A Connecticut Yankee in King Arthur's Court,val
